0.236672,0.013864,0.843820,0.821500,nan,0.016020,0.000400,0.813787,0.252779,0.920066,0.015986,nan,0.725977,0.157089,0.015986,0.200526,nan,0.689258,0.193804,0.685336,0.875292,0.689258,0.013864,0.689258,0.263289,0.051272,0.284139,0.459995,0.190095,0.166284,0.877094,0.230917,0.013864,0.252779,0.313788,0.085503,0.166284,0.277990,nan,0.003506,0.797147,0.249252,0.003506,0.193804,0.517545,0.211449,0.377616,0.193955,0.289364,0.589608,0.001169,0.369812,nan,0.338535,0.481946,0.192843,0.000999,0.890706,0.252779,0.893354,0.921648,0.215574,nan,0.526221,0.382825,0.490845,0.051272,0.217194,0.986442,0.990921,0.252779,0.217948,nan,0.459995,0.459995,0.318913,0.157089,0.229627
0.017739,0.821118,0.562172,0.157089,0.968301,0.316165,0.166256,0.798902,0.820021,0.591332,0.672759,nan,0.598620,0.920708,nan,0.229627,0.616882,0.567193,0.338535,0.857212,0.002718,0.972298,0.242284,0.832415,0.318913,0.838114,0.249252,0.182860,0.827577,0.877094,nan,0.914830,0.537526,0.843820,0.215574,0.193804,0.830842,nan,0.205340,0.318913,0.981325,0.736109,0.806216,0.875292,0.211279,0.840456,nan,0.033481,0.734032,0.217005,0.207299,0.016020,nan,0.253310,0.313025,0.049725,0.005628,0.795600,0.526221,0.051272,0.230917,0.723853,0.325143,0.260444,0.201242,0.832314,0.835290,0.190293,0.865115,0.277990,0.215574,0.726768,0.249252,0.318913,0.217948,0.336671,0.289364,0.827577
0.249252,nan,0.200795,0.672759,0.921353,nan,0.683452,0.817518,0.925698,0.982394,nan,0.892280,0.840456,0.912558,0.545163,0.854436,0.032065,0.227105,0.015986,0.157089,0.000034,0.921878,0.172572,0.821156,0.193804,0.459995,0.615420,0.616775,0.190095,0.336671,0.336466,0.402927,0.843820,0.298514,0.672759,0.901546,0.822196,0.563526,0.332071,0.861821,0.907435,0.860841,0.821500,0.815792,0.845550,0.230917,0.242284,0.932214,0.190340,0.057770,0.317147,0.835290,0.003506,0.394806,0.723850,0.695309,0.034558,0.158002,0.973628,0.302479,0.481946,0.228683,0.634790,0.213260,0.833914,0.808943,0.920708,0.581322,0.657536,0.618274,0.065774,0.197350,0.573861,0.967948,0.194665,0.000093,0.973431,0.201242
0.308751,0.899499,0.015986,0.888246,0.817518,0.193378,0.726768,0.000000,0.045868,0.034558,0.223818,0.316165,0.714708,0.223818,0.045868,0.369812,0.689258,0.166284,0.813787,0.381017,0.952219,0.240128,nan,0.013146,0.845322,nan,0.015986,0.236672,0.817518,0.672759,0.591332,0.726768,0.307211,0.000497,0.263551,nan,0.598620,nan,0.817518,nan,nan,nan,0.195748,0.598620,0.157089,0.689258,0.899499,0.002718,0.228683,0.045868,nan,0.051272,0.017739,0.689258,0.813787,0.424270,0.003506,0.206546,0.234413,0.203271,0.360873,0.713418,0.895445,0.834552,0.021763,0.240128,0.166559,0.672759,0.369812,0.316165,0.212899,0.215574,0.817518,0.689258,0.318913,0.252779,0.051272,0.157089
0.157089,0.723853,0.714708,0.003506,0.591332,0.195162,0.294889,0.973628,0.193804,0.899499,0.914830,0.231634,0.223818,0.242284,0.318913,0.215574,0.229627,0.793640,0.672759,0.817518,0.045868,0.188091,0.813787,0.589608,nan,0.272410,0.211449,nan,0.045868,nan,0.816534,nan,0.459995,0.430461,nan,0.249252,0.499347,0.813787,nan,0.188091,0.973628,0.051272,0.318913,0.015986,0.318913,0.015986,nan,0.459995,0.350002,0.157089,0.212899,0.230917,0.865115,nan,0.277990,0.689258,nan,0.202963,0.877094,0.875292,0.875292,0.157089,0.215206,0.672759,0.780557,0.616080,0.157089,0.689258,0.166559,0.016020,0.591332,0.920066,0.381280,0.249252,0.709865,0.230917,0.051272,0.689258
0.003506,0.445346,0.244586,0.793640,0.252779,0.318913,0.804143,0.289364,0.013864,0.208609,0.190553,0.284139,0.913546,0.223013,0.299077,0.798902,0.211279,0.803933,0.746893,0.366727,0.851117,nan,0.855304,0.639891,0.899499,0.813787,nan,0.689258,0.827577,0.627942,0.810729,0.930794,0.917689,nan,0.230917,nan,0.042461,0.211027,0.429346,0.877094,0.243906,0.294889,0.294889,0.578319,0.215574,0.202995,0.713418,0.223964,0.730276,0.785790,0.563127,0.899499,0.726768,0.215574,0.782987,0.392743,0.044371,0.252779,0.206546,0.870001,0.168358,0.872068,0.649503,0.336671,nan,0.300946,0.889641,0.193955,0.914830,0.189967,0.249252,0.019036,0.272476,0.818295,0.607451,0.921077,0.193639,0.249958
0.246549,0.016020,0.157089,0.017739,0.973628,0.672759,0.875292,0.312694,0.689258,0.002718,0.517545,0.698372,0.878456,0.157089,nan,0.832314,0.901546,0.830842,0.051272,0.958247,0.337184,0.015117,0.683452,nan,0.201388,0.912558,0.015986,nan,0.252779,0.736109,0.813787,0.845322,0.851231,0.877094,0.277990,0.591332,0.875292,0.899499,0.002718,0.157089,0.912558,0.192765,0.798902,0.157089,0.215574,0.855940,0.157089,0.369812,0.854763,0.316215,0.201388,0.252779,0.689258,0.499347,0.607451,0.236672,0.240128,0.033481,0.875292,0.211279,nan,0.422807,0.813448,0.014077,0.495195,0.894269,0.193804,0.923350,0.297430,0.820907,0.840456,0.193378,0.001119,0.709865,0.013864,0.200795,nan,0.672759
0.861203,0.200795,0.396904,0.017739,0.376960,0.917917,0.316215,0.779523,0.744880,0.664403,0.013864,0.003506,0.272410,0.051272,0.798902,nan,0.779529,0.857524,0.166559,0.851084,0.865465,0.194429,0.962233,0.581322,0.598545,0.080952,0.868780,0.189919,0.198836,0.248760,0.297430,0.198493,0.591332,0.726768,0.804628,0.963734,0.911372,0.983687,0.023480,0.252779,0.429597,0.816169,0.340178,0.821500,0.242967,0.562172,0.726768,0.269690,0.233119,0.921353,0.868139,0.366624,0.399407,0.014155,0.014091,0.441123,0.267682,0.459995,0.252779,0.672759,0.420645,0.149603,0.904505,0.733958,0.394806,0.921353,0.420645,0.853712,0.188498,0.743924,0.428367,0.817518,0.500384,0.422807,0.282714,0.197661,0.297430,0.009719
0.193378,0.044371,0.813787,0.157089,nan,nan,0.591332,0.295414,0.265510,0.263289,0.808599,0.799783,0.217948,0.017739,0.230917,0.200526,0.082873,0.347259,0.013864,0.865115,0.051272,0.893354,0.804352,0.589608,0.833914,0.306636,0.213260,0.044371,0.821249,0.196438,0.272410,0.862085,0.563526,0.893354,0.722726,0.863680,0.919333,0.194429,0.806419,0.843820,0.305923,0.316165,0.188091,0.193955,0.014077,0.215574,0.854763,0.157089,nan,0.252173,0.722212,0.192699,nan,0.228611,0.740074,0.065273,0.689258,0.217948,0.689258,0.245275,0.798351,0.051272,0.689258,0.789134,0.394081,0.899499,0.899499,0.899499,0.776819,0.417879,0.920708,0.823337,0.459995,0.217194,0.789134,0.289364,0.217781,0.465599
nan,0.190219,0.990921,0.303636,0.369812,0.813787,0.865115,0.211279,0.819409,nan,0.427569,0.689258,0.051272,nan,0.924188,0.830842,nan,0.807666,0.990921,0.459995,0.709865,0.045868,0.995664,0.800820,0.813448,0.991774,0.193378,0.888246,0.015986,0.921648,0.822372,0.002718,0.920066,0.228611,0.193140,0.785495,0.518197,0.875292,0.563127,0.436586,0.806419,0.797147,nan,0.851420,0.865115,nan,0.211735,0.855499,0.607451,0.798902,0.225208,nan,0.230568,0.308751,0.990921,0.804628,0.211027,0.265510,0.864399,0.359120,0.801772,0.790759,0.931159,0.431435,0.188091,0.907107,0.757559,0.844159,0.379705,0.601108,0.215574,0.240128,nan,0.798902,0.318913,0.495195,0.252779,0.212899
0.948318,0.157089,0.973628,0.193955,nan,0.192765,0.034558,0.201242,0.459995,nan,nan,0.817518,0.394806,0.249252,0.493813,0.499347,nan,0.215574,0.459995,nan,0.230917,0.190095,0.199118,0.723853,0.672759,nan,0.211279,0.272410,0.211279,0.277990,0.779529,0.803933,0.015986,0.212899,0.249252,0.537526,0.194665,0.015986,0.219199,0.591332,0.217948,0.192026,0.228683,0.598620,0.526221,0.212747,0.182860,0.195748,nan,0.921353,nan,nan,0.262289,0.033481,0.250572,0.051272,0.003506,0.914830,0.914830,0.157089,0.961033,0.972298,0.195516,0.986442,0.899499,0.065064,0.203119,0.817518,0.598620,0.016020,0.865673,0.798902,0.827371,0.000137,0.771284,nan,0.981325,0.878456
0.973628,0.194969,0.200526,0.899499,0.369812,0.752720,0.914830,0.381017,0.796998,0.962233,0.005628,0.809091,0.689258,0.223818,0.294889,0.217948,0.033481,0.567193,0.212899,0.051272,0.359944,0.192765,0.921648,0.437102,0.896924,0.197661,0.964929,0.231634,0.217948,0.819235,0.922463,0.543454,0.195162,0.842300,0.759647,0.170797,0.816419,0.228944,0.877094,0.201242,0.880148,0.920066,0.899499,0.230917,0.242284,0.813787,0.865115,0.459995,0.350002,0.833914,0.813787,0.076777,0.972976,0.044371,0.807666,0.871858,0.574483,0.914830,0.236242,0.217948,0.034558,0.243906,0.410082,0.206546,0.436586,0.900297,0.847987,0.923481,0.228611,0.197018,0.211279,0.966246,0.188091,0.985327,0.210042,0.890706,0.023672,0.193624
0.901546,0.280498,0.856665,0.019614,0.226438,0.874253,0.341822,0.195526,0.822372,0.201388,0.227086,0.562172,0.809091,0.638504,0.225034,0.768100,0.330053,0.215206,0.206714,0.818966,0.621139,0.195516,0.241067,0.923999,0.840456,0.641510,0.324488,0.931159,0.230135,0.825602,0.965008,0.997504,0.565343,0.189309,0.926682,0.813448,0.864648,0.803958,0.804136,0.909093,0.167309,0.926682,0.937117,0.218903,0.188978,0.804352,0.218518,0.848543,0.827371,0.386750,0.831448,0.964326,0.853288,0.211394,0.368681,0.787892,0.923999,0.217948,0.837673,0.825416,0.230917,0.217948,0.874571,nan,0.809365,0.807666,0.368647,0.837673,0.908121,0.189990,0.972537,0.485090,0.014442,0.195356,0.381280,0.000000,0.725757,0.668701
0.798902,0.301165,0.033481,0.198284,0.459995,0.192765,0.230402,0.272410,0.865115,0.880148,0.848543,0.882559,0.459097,nan,0.193804,0.912558,0.786812,0.316215,0.272476,0.293715,0.014077,0.459995,0.192597,0.259301,0.689868,0.543222,0.752720,0.963734,0.815390,0.013864,0.866877,0.049725,0.435295,0.563127,0.868139,0.354445,0.404975,0.844396,0.916639,0.340178,0.855940,0.584002,0.305346,0.249252,0.797147,0.264880,0.324488,0.229627,0.044371,0.632212,0.634790,0.294889,0.797807,0.396904,0.981325,0.035516,0.735614,0.210042,0.719082,0.657828,0.269456,0.273936,0.217948,0.320713,0.860878,0.601560,0.935283,0.182860,0.624427,0.217194,0.642200,0.712261,0.972298,0.454157,0.302975,0.362391,0.347947,0.194665
0.830842,0.598545,0.813253,0.596174,0.157089,0.413434,0.381017,0.238383,0.424270,0.369812,0.535451,0.854436,0.907064,0.392722,0.017739,0.493534,0.857311,0.813787,0.914830,0.865465,0.203477,0.289364,0.348898,0.827371,0.821654,0.803958,0.616882,0.166559,0.815456,0.211279,0.157089,0.011282,0.814365,0.193804,0.873795,0.751870,0.573861,0.254741,0.861405,0.526221,0.015986,0.589608,0.851084,0.847987,0.249252,0.044371,0.878456,0.921353,0.948588,0.065273,0.632212,0.596458,0.382825,0.157089,0.563127,0.166284,0.201388,0.093852,0.711619,0.864769,0.816464,0.382825,0.798902,0.973628,0.827326,0.956629,0.798902,0.880148,0.316215,nan,nan,0.237890,0.172572,0.328545,0.359944,0.832415,0.025897,0.672759
0.875292,nan,0.813787,0.045868,0.157089,0.015986,nan,nan,0.817518,0.015986,0.350002,0.013864,0.723850,0.865115,0.157089,0.672759,nan,0.880148,0.878456,nan,0.899499,0.689258,0.249252,0.499347,0.166284,0.318913,0.215574,0.893354,0.914830,0.240128,0.252779,0.223818,0.830842,0.249252,nan,0.422807,nan,0.188091,nan,0.459995,nan,0.689258,0.252779,0.459995,0.914830,nan,0.318913,0.589608,0.223818,0.318913,0.813787,0.855940,0.835290,0.888246,0.429346,0.308751,0.157089,0.689258,0.672759,0.855940,0.779529,0.230917,0.813787,0.157089,0.230917,0.424270,0.798902,0.973628,0.672759,0.318913,0.166559,0.045868,0.832815,0.318913,nan,0.157089,nan,0.973628
0.843820,0.003506,0.271020,0.819235,0.199861,0.803855,0.166284,0.970585,0.787537,0.270401,0.745651,0.257868,0.843140,0.610321,0.819963,0.726735,0.598620,0.208220,0.959405,0.217948,0.382376,0.188759,0.085503,0.192100,0.102099,0.607451,0.914830,0.725757,0.223964,0.956343,0.714708,0.223818,0.233551,0.907172,0.672808,0.189844,0.826872,0.420576,0.868851,0.645337,0.364483,0.855405,0.585658,0.176840,0.591560,0.889572,0.894727,0.199118,0.253310,0.854964,0.976407,0.961671,0.210546,0.820834,0.219199,0.758624,0.308992,0.856665,0.193768,0.326103,0.913546,0.210933,0.919333,0.896981,0.191695,0.205886,0.198641,0.840115,0.817870,0.243906,0.272410,0.957209,0.638012,0.981956,0.033593,0.042293,0.190512,0.830842
